source,title,startup_name,excerpt,date,link,category
Recent News Crawl,House-help startup Pync shuts down amid fierce competition; founders to join Snabbit,House-help startup Pync,,,https://economictimes.indiatimes.com/tech/startups/house-help-startup-pync-shuts-down-amid-fierce-competition-founders-to-join-snabbit/articleshow/126530247.cms,Recent Shutdown
Recent News Crawl,"Talent flows from India, US cannot afford to shut doors",Talent flows from,,,https://economictimes.indiatimes.com/news/international/world-news/talent-flows-from-india-us-cannot-afford-to-shut-doors/articleshow/126435645.cms,Recent Shutdown
Recent News Crawl,Delays & disruption: H-1B anxiety builds up amid US shutdown,Delays & disruption:,,,https://economictimes.indiatimes.com/tech/technology/delays-disruption-h-1b-anxiety-builds-up-amid-us-shutdown/articleshow/124965668.cms,Recent Shutdown
Recent News Crawl,"Tiger Global-backed Toplyne shuts down, returns investor capital",Tiger Global-backed Toplyne,,,https://economictimes.indiatimes.com/tech/startups/tiger-global-backed-toplyne-shuts-shop-on-inability-to-achieve-product-market-mix/articleshow/114152375.cms,Recent Shutdown
Recent News Crawl,Bengaluru auto rickshaws ply despite strike against bike taxis; behind internet shutdowns in India,Bengaluru auto rickshaws,,,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/bengaluru-auto-rickshaws-ply-despite-strike-against-bike-taxis-behind-internet-shutdowns-in-india/articleshow/98815632.cms,Recent Shutdown
Recent News Crawl,India’s dubious record on internet shutdowns set to continue,India’s dubious record,,,https://economictimes.indiatimes.com/tech/newsletters/ettech-unwrapped/indias-dubious-record-on-internet-shutdowns-set-to-continue/articleshow/94105055.cms,Recent Shutdown
Recent News Crawl,Former Twitter India head’s startup Invact Metaversity stares at shutdown,Former Twitter India,,,https://economictimes.indiatimes.com/tech/startups/former-twitter-india-head-manish-maheshwaris-startup-invact-metaversity-is-considering-down-operations/articleshow/91740354.cms,Recent Shutdown
Recent News Crawl,India remains trigger-happy on internet shutdowns,India remains trigger-happy,,,https://economictimes.indiatimes.com/tech/newsletters/ettech-unwrapped/india-remains-trigger-happy-on-internet-shutdowns/articleshow/91188543.cms,Recent Shutdown
Recent News Crawl,"Market Movers: Angel tax fears lift, loan cost drops & shutdown looms in US",Market Movers,,,https://economictimes.indiatimes.com/markets/stocks/news/market-movers-angel-tax-fears-lift-loan-cost-drops-shutdown-looms-in-us/articleshow/67186820.cms,Recent Shutdown
Recent News Crawl,10 startups that shut down in 2016,10 startups that,,,https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Recent Shutdown
Recent News Crawl,Exclusive: Ronnie Screwvala’s Upgrad joins list of bidders for bankrupt Byju’s parent,Exclusive,,,https://economictimes.indiatimes.com/tech/technology/exclusive-ronnie-screwvalas-upgrad-enters-bidding-fray-for-bankrupt-byjus-assets/articleshow/125330733.cms,Recent Shutdown
Recent News Crawl,Indian tax authorities seek $101 million in Byju's insolvency process,Indian tax authorities,,,https://economictimes.indiatimes.com/markets/stocks/news/indian-tax-authorities-seek-101-million-in-byjus-insolvency-process/articleshow/113142627.cms,Recent Shutdown
Recent News Crawl,Tax authorities seek $101 million in Byju's insolvency process,Tax authorities seek,,,https://economictimes.indiatimes.com/tech/technology/tax-authorities-seek-101-million-in-byjus-insolvency-process/articleshow/113134813.cms,Recent Shutdown
Recent News Crawl,"Facing insolvency, Byju's hit with new challenge from lenders","Facing insolvency, Byju's",,,https://economictimes.indiatimes.com/tech/technology/facing-insolvency-byjus-hit-with-new-challenge-from-lenders/articleshow/112216379.cms,Recent Shutdown
Recent News Crawl,Litigation funding startups eyeing arbitration and insolvency resolution cases,Litigation funding startups,,,https://economictimes.indiatimes.com/tech/startups/litigation-funding-startups-eyeing-arbitration-and-insolvency-resolution-cases/articleshow/111908630.cms,Recent Shutdown
Recent News Crawl,Insolvency and Bankruptcy Code had big role to play in India's startup culture: Justice SK Kaul,Insolvency and Bankruptcy,,,https://economictimes.indiatimes.com/tech/startups/insolvency-and-bankruptcy-code-had-big-role-in-indias-startup-culture-justice-sk-kaul/articleshow/97616525.cms,Recent Shutdown
Recent News Crawl,"Not just banks, your unpaid supplier of goods or services can now initiate bankruptcy proceedings","Not just banks,",,,https://economictimes.indiatimes.com/small-biz/legal/not-just-banks-your-unpaid-supplier-of-goods-or-services-can-now-initiate-bankruptcy-proceedings/articleshow/59819749.cms,Recent Shutdown
Recent News Crawl,"Faster insolvency process in place for startups, small companies",Faster insolvency process,,,https://economictimes.indiatimes.com/small-biz/startups/faster-insolvency-process-in-place-for-startups-small-companies/articleshow/59180308.cms,Recent Shutdown
Recent News Crawl,Insolvency resolution time for smaller companies may be shortened,Insolvency resolution time,,,https://economictimes.indiatimes.com/news/economy/policy/insolvency-resolution-time-for-smaller-companies-may-be-shortened/articleshow/58634638.cms,Recent Shutdown
Recent News Crawl,Government proposes to fast-track insolvency resolution for startups,Government proposes to,,,https://economictimes.indiatimes.com/small-biz/startups/government-proposes-to-fast-track-insolvency-resolution-for-startups/articleshow/58325347.cms,Recent Shutdown
Recent News Crawl,Insolvency & Bankruptcy Code may help unlock Rs 25K crore NPAs: Report,Insolvency & Bankruptcy,,,https://economictimes.indiatimes.com/industry/banking/finance/insolvency-bankruptcy-code-may-help-unlock-rs-25k-crore-npas-report/articleshow/55541608.cms,Recent Shutdown
Recent News Crawl,"Insolvency Code to make start, exit easy for startups: Nirmala Sitharaman",Insolvency Code to,,,https://economictimes.indiatimes.com/small-biz/policy-trends/insolvency-code-to-make-start-exit-easy-for-startups-nirmala-sitharaman/articleshow/51441075.cms,Recent Shutdown
Recent News Crawl,Major chicken chain franchisee files for bankruptcy — what went wrong behind the scenes,Major chicken chain,,,https://economictimes.indiatimes.com/news/international/us/major-chicken-chain-franchisee-files-for-bankruptcy-what-went-wrong-behind-the-scenes/articleshow/126576362.cms,Recent Shutdown
Recent News Crawl,Saks Global files for bankruptcy due to heavy debt load months after Neiman Marcus takeover; Here’s how the luxury retail group can revive itself as time runs out,Saks Global files,,,https://economictimes.indiatimes.com/us/business/saks-global-files-for-bankruptcy-due-to-heavy-debt-load-months-after-neiman-marcus-takeover-heres-how-the-luxury-retail-group-can-revive-itself-as-time-runs-out/articleshow/126524533.cms,Recent Shutdown
